model,dataset,prior,epoch,channel_type,channel_spec,norm,kl_penalty,vanilla_loss,vanilla_error,vanilla_bound_ce_lhs,vanilla_bound_ce_rhs,vanilla_bound_01_lhs,vanilla_bound_01_rhs,vanilla_bound_ce_valid,vanilla_bound_01_valid,channel_loss,channel_error,channel_bound_ce_lhs,channel_bound_ce_rhs,channel_bound_01_lhs,channel_bound_01_rhs,channel_bound_ce_valid,channel_bound_01_valid,loss_reduction,error_reduction,loss_reduction_pct,error_reduction_pct,goal_satisfied,bounds_valid,channel_term,kl_final,empirical_nll_loss,empirical_01_error
cnn-9,cifar10,learnt,20,rayleigh-zf,0.0,frob,1.0,0.17119706869125367,0.5969,0.17119706869125367,3.7043639924630694,0.5969,3.4908084380789677,True,True,0.1660737156867981,0.5067999999999999,0.1660737156867981,0.39072381743995493,0.5067999999999999,0.20271099403099632,True,False,0.005123353004455572,0.09010000000000007,2.9926639770306536,15.094655721226347,True,False,0.0102851384515858,0.15842440724372864,0.1729841216737244,0.360996945082683
fcn-4,mnist,learnt,10,bec,0.5,frob,0.1,0.010413500666618346,0.03380000000000005,0.010413500666618346,0.31495429019167,0.03380000000000005,0.2891374131982236,True,True,0.011200910806655884,0.03810000000000002,0.011200910806655884,0.2182597985059277,0.03810000000000002,0.19148829359723807,True,True,-0.0007874101400375377,-0.0042999999999999705,-7.561435536866771,-12.721893491124153,False,True,0.14094263723713407,0.19210284948349,0.03266037100014314,0.059431875908832754
fcn-4,mnist,learnt,20,bec,0.5,frob,0.01,0.010514961183071136,0.03320000000000001,0.010514961183071136,0.48155192017305287,0.03320000000000001,0.45605343751102356,True,True,0.010434091091156006,0.0363,0.010434091091156006,0.24105373043883832,0.0363,0.21487307168815145,True,True,8.087009191513027e-05,-0.0030999999999999917,0.7690954869650817,-9.337349397590334,False,True,0.14094263723713407,6.21054744720459,0.03147495190834543,0.057655610659032304
fcn-4,mnist,learnt,50,bec,0.5,frob,0.1,0.010699467360973358,0.03249999999999997,0.010699467360973358,1.1186315596231444,0.03249999999999997,1.094104956533883,True,True,0.011423208564519883,0.039100000000000024,0.011423208564519883,0.2183354978535495,0.039100000000000024,0.19142857227200064,True,True,-0.0007237412035465251,-0.00660000000000005,-6.764273202854881,-20.30769230769248,False,True,0.14094263723713407,0.1540740728378296,0.03275590150544594,0.05966282708699481
cnn-4,mnist,learnt,10,rayleigh-zf,10.0,frob,1.0,0.04354698061943054,0.06920000000000004,0.04354698061943054,0.11593759406303387,0.06920000000000004,0.10379206580562275,True,True,0.042152604460716246,0.06740000000000002,0.042152604460716246,0.06286644112938837,0.06740000000000002,0.050377313019508825,True,False,0.0013943761587142944,0.0018000000000000238,3.2020042236685584,2.601156069364195,True,False,0.007493070021794318,0.0016387403011322021,0.02577652410743785,0.038265652217317404
cnn-4,mnist,learnt,20,bec,0.5,frob,0.1,0.0052247907966375354,0.017900000000000027,0.0052247907966375354,0.40261980362051014,0.017900000000000027,0.39042947601841904,True,True,0.005793235823512077,0.018399999999999972,0.005793235823512077,0.2467844631416193,0.018399999999999972,0.23432288000111606,True,True,-0.0005684450268745415,-0.0004999999999999449,-10.879766271988723,-2.793296089385163,False,True,0.19134199476717295,0.06610089540481567,0.025610000697459497,0.03807158383796275
fcn-4,mnist,learnt,10,rayleigh-zf,10.0,frob,0.1,0.014841872453689575,0.03610000000000002,0.014841872453689575,0.18190306607452408,0.03610000000000002,0.1560212777706971,True,True,0.017019934952259064,0.040000000000000036,0.017019934952259064,0.08517573805189885,0.040000000000000036,0.05830382748246647,True,True,-0.0021780624985694892,-0.0039000000000000146,-14.675119364929184,-10.803324099723026,False,True,0.007826982981243406,0.14948022365570068,0.032765565282554976,0.05963747585198735
fcn-4,mnist,learnt,50,rayleigh-zf,10.0,frob,1.0,0.01420106440782547,0.035599999999999965,0.01420106440782547,0.9854853316104011,0.035599999999999965,0.9609802518646894,True,True,0.01647884100675583,0.041100000000000025,0.01647884100675583,0.08504789167153573,0.041100000000000025,0.057905584631278345,True,True,-0.002277776598930359,-0.00550000000000006,-16.039477982194025,-15.449438202247375,False,True,0.007826982981243406,0.005512267351150513,0.03295506915179593,0.06009737619205331
cnn-9,cifar10,learnt,20,bec,0.1,frob,0.1,0.07642717957496643,0.28290000000000004,0.07642717957496643,3.737416047593392,0.28290000000000004,3.5240518125708733,True,True,0.11478247642517089,0.2993,0.11478247642517089,0.4383351605642832,0.2993,0.2475700109414234,True,False,-0.03835529685020446,-0.01639999999999997,-50.18541448671705,-5.797101449275351,False,False,0.04351871714733184,4.060328006744385,0.16715971650813627,0.357924866130996
cnn-4,mnist,learnt,10,bec,0.5,frob,0.1,0.005353602021932602,0.018199999999999994,0.005353602021932602,0.29979857789512354,0.018199999999999994,0.2876303499735162,True,True,0.006234060600399971,0.021199999999999997,0.006234060600399971,0.24679322132738093,0.021199999999999997,0.23436342023203022,True,True,-0.0008804585784673684,-0.0030000000000000027,-16.44609694296123,-16.483516483516503,False,True,0.19134199476717295,0.0752001404762268,0.02561339341592452,0.03804319451127522
