model,dataset,prior_type,epoch,channel_type,channel_spec,norm_type,loss_type,lhs,rhs,empirical,channel_term,kl_term,gap,relative_gap,dimension,lipschitz,kl_final
fcn-4,mnist,rand,10,rayleigh-zf,SNR=10.0dB,frob,01,0.276,12.983712280546548,0.31510261861072486,0.007826982981243406,12.85279840191977,12.707712280546549,46.042435799081694,600.0,0.015757035464048386,3148.27978515625
fcn-4,mnist,rand,10,bec,outage=0.1,spec,ce,0.0664433479309082,13.25547842704968,0.10565817048018179,0.07137268781661987,12.85279840191977,13.18903507911877,198.50045926092594,600.0,0.07137268781661987,3148.27978515625
fcn-4,mnist,rand,10,bec,outage=0.1,spec,01,0.2589,13.046930288977585,0.31420630855227594,0.07137268781661987,12.85279840191977,12.788030288977584,49.39370524904435,600.0,0.07137268781661987,3148.27978515625
fcn-4,mnist,rand,10,bec,outage=0.5,spec,ce,0.09867218732833863,13.254795842108292,0.10565817048018179,0.0706901028752327,12.85279840191977,13.156123654779954,133.33163083739117,600.0,0.0706901028752327,3148.27978515625
fcn-4,mnist,rand,10,bec,outage=0.5,spec,01,0.35640000000000005,13.046247704036197,0.31420630855227594,0.0706901028752327,12.85279840191977,12.689847704036197,35.60563328854151,600.0,0.0706901028752327,3148.27978515625
fcn-4,mnist,rand,10,rayleigh-zf,SNR=0.0dB,spec,ce,0.1186290979385376,13.367685348841352,0.10598586688452173,0.18268329954984266,12.85279840191977,13.249056250902814,111.6847087361924,600.0,0.11629980057477951,3148.27978515625
fcn-4,mnist,rand,10,rayleigh-zf,SNR=0.0dB,spec,01,0.3769,13.15856859711515,0.31510261861072486,0.18268329954984266,12.85279840191977,12.78166859711515,33.912625622486466,600.0,0.11629980057477951,3148.27978515625
fcn-4,mnist,rand,10,bec,outage=0.1,frob,ce,0.0664433479309082,13.251111007132307,0.10565817048018179,0.06700526789924707,12.85279840191977,13.184667659201398,198.43472777608395,600.0,0.008666250854730606,3148.27978515625
fcn-4,mnist,rand,10,bec,outage=0.1,frob,01,0.2589,13.042562869060212,0.31420630855227594,0.06700526789924707,12.85279840191977,12.783662869060212,49.37683611069993,600.0,0.008666250854730606,3148.27978515625
fcn-4,mnist,rand,10,bec,outage=0.5,frob,ce,0.09867218732833863,13.325048376470193,0.10565817048018179,0.14094263723713407,12.85279840191977,13.226376189141854,134.04360992961634,600.0,0.008137560449540615,3148.27978515625
fcn-4,mnist,rand,10,bec,outage=0.5,frob,01,0.35640000000000005,13.1165002383981,0.31420630855227594,0.14094263723713407,12.85279840191977,12.760100238398099,35.80275038832238,600.0,0.008137560449540615,3148.27978515625
fcn-4,mnist,rand,10,rayleigh-zf,SNR=0.0dB,frob,ce,0.1186290979385376,13.210664221766855,0.10598586688452173,0.025662172475346284,12.85279840191977,13.092035123828317,110.36107794237275,600.0,0.016337046399712563,3148.27978515625
fcn-4,mnist,rand,10,rayleigh-zf,SNR=0.0dB,frob,01,0.3769,13.001547470040652,0.31510261861072486,0.025662172475346284,12.85279840191977,12.624647470040653,33.49601345195185,600.0,0.016337046399712563,3148.27978515625
fcn-4,mnist,rand,10,rayleigh-zf,SNR=10.0dB,spec,ce,0.07263858914375305,13.242431732682785,0.10598586688452173,0.05742968339127726,12.85279840191977,13.169793143539032,181.3057398110497,600.0,0.11561562865972519,3148.27978515625
fcn-4,mnist,rand,10,rayleigh-zf,SNR=10.0dB,spec,01,0.276,13.033314980956582,0.31510261861072486,0.05742968339127726,12.85279840191977,12.757314980956583,46.22215572810356,600.0,0.11561562865972519,3148.27978515625
cnn-9,cifar10,rand,50,rayleigh-zf,SNR=10.0dB,spec,ce,0.22056775093078612,2.178058946852031,0.2611588744318032,0.03487472932019379,1.1970366287479075,1.9574911959212449,8.874784222356709,8192.0,0.07020870596170425,267.66552734375
cnn-9,cifar10,rand,50,rayleigh-zf,SNR=10.0dB,spec,01,0.899,1.5118034709178063,0.9274143503660279,0.03487472932019379,1.1970366287479075,0.6128034709178063,0.6816501345025654,8192.0,0.07020870596170425,267.66552734375
cnn-9,cifar10,rand,50,bec,outage=0.1,frob,ce,0.1978796601295471,2.1868760060638883,0.2611577610504161,0.04351871714733184,1.1970366287479075,1.9889963459343412,10.051545189799661,8192.0,0.0015182452043518424,267.66552734375
cnn-9,cifar10,rand,50,bec,outage=0.1,frob,01,0.8831,1.5204463453635573,0.9275874217507474,0.04351871714733184,1.1970366287479075,0.6373463453635573,0.721714806209441,8192.0,0.0015182452043518424,267.66552734375
cnn-9,cifar10,rand,50,bec,outage=0.5,frob,ce,0.19798789024353028,2.2216177322328865,0.2611577610504161,0.07826044331633007,1.1970366287479075,2.023629841989356,10.220977856273121,8192.0,0.0012209281558170915,267.66552734375
